allwt,INCOME,white,VOTE,VOTE_F,EDUC,FDSTMPd,FDSTMP,SOCSECd,SOCSECf,MEDAIDd,MEDICAID,MEDICAREd,MEDICAREf,WELFAREd,WELFARE,EITCd,EITCf,UNEMPLOYd,UNEMPLOYf,GOVTPENd,GOVTPENf,PUBHOUd,PUBHOU,DISABITYd,DISABITYf,WICd,WICf,HEADf,HEADd,COLLGRNTf,COLLGRNTd,STULOANSf,STULOANSd,VETBENf,VETBENd,WRKCOMPf,WRKCOMPd,BUSLOANf,BUSLOANd,GIBILLf,GIBILLd,MTGDEDTf,MTGDEDTd,PTYIDd,PTYIDf,FOLLOWPA,sex,TRUSTOFF,PEOPSAY,Total
1.1375,4,1,1,Always,2,0,None,0,None,0,2,0,None,0,None,1,R and R's Family,0,None,0,None,0,None,0,None,0,None,None,0,R and R's Family,1,R and R's Family,1,R's Family,0,R's Family,0,None,0,R's Family,0,R and R's Family,1,1,Republican,1,2,2,2,5
1.1375,3,1,3,Sometimes,3,0,None,0,R's Family,0,1,0,R's Family,0,None,0,None,1,R and R's Family,0,None,0,None,0,None,0,R's Family,R's Family,0,R's Family,0,R and R's Family,1,R's Family,0,R's Family,0,None,0,None,0,R's Family,0,0,Democrat,2,2,2,2,3
0.6125,4,1,1,Always,2,0,None,0,None,0,1,1,Respondent,0,None,0,None,0,None,0,None,0,None,0,None,0,R's Family,None,0,None,0,None,0,None,0,None,0,Respondent,1,None,0,R and R's Family,1,1,Republican,1,2,2,1,4
0.91875,3,1,1,Always,1,0,None,1,Respondent,0,1,0,None,0,None,0,None,0,None,1,Respondent,0,None,0,None,0,None,None,0,R's Family,0,None,0,None,0,None,0,None,0,None,0,None,0,1,Republican,1,1,2,2,3
0.6125,4,1,1,Always,2,0,None,0,R's Family,0,1,0,R's Family,0,None,0,None,1,Respondent,0,None,0,None,0,None,0,None,None,0,None,0,R and R's Family,1,None,0,None,0,None,0,None,0,Respondent,1,1,Republican,1,2,1,2,4
1.3125,2,1,2,Usually,1,0,None,0,None,0,1,0,None,0,None,1,R and R's Family,1,Respondent,0,None,0,None,0,None,1,R and R's Family,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,0,Democrat,2,1,2,2,4
0.7,7,1,1,Always,4,0,None,0,R's Family,0,1,0,R's Family,0,None,0,None,0,None,0,R's Family,0,None,0,None,0,None,None,0,None,0,R's Family,0,R's Family,0,None,0,None,0,None,0,R's Family,0,1,Republican,2,1,2,2,1
0.6125,4,1,1,Always,3,0,None,0,None,0,1,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,Respondent,1,1,Republican,1,2,1,2,2
1.44375,2,1,2,Usually,1,0,None,0,R's Family,0,1,0,R's Family,0,None,1,Respondent,0,R's Family,0,None,0,None,0,R's Family,0,None,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,0,Democrat,3,2,2,2,2
0.7,5,1,1,Always,3,0,None,0,None,0,1,0,None,0,None,0,None,0,None,0,R's Family,0,None,0,None,0,None,None,0,R's Family,0,R's Family,0,Respondent,1,R's Family,0,None,0,None,0,Respondent,1,1,Republican,1,1,1,2,3
