followpa,readnews,tvnews,internet,contact,attend,contrib,workpol,joinint,regist,vote,union,profsoc,relorg,fratgrp,servgrp,polgrp,vetgrp,collgrp,neihgrp,schlgrp,ythgrp,sprtgrp,feegrps,board,attnrel,trustoff,obggrps,oppsucc,incdiff,haves,ineqinc,ineqfut,curinc,achieve,hardwork,classdiv,afirmact,upmobil,dwnmobil,gvtdomor,govtprog,headst,medicaid,fdstamp,welfare1,pubhous,schaid,collgrnt,socsec,medicare,medaid2,welfare2,eitc,collgrt2,stuloans,vetben,unemploy,govtpen,wrkcomp,fdstmp2,pubhou2,busloan,gibill,mtgdedt,headst2,wic,disabity,ptyid,politics,pres,longlive,worksit,healthin,maritial,children,race,econsit,feconsit,parents,coecosit,educ,agerec,courtnew,partback,judgelec,votejude,stjudele,goodjudg,coconfli,viewjudg,judgshie,judbckgr,ampeople,corctdec,judgacct,persbelf,mediacov,income,sexrec,tzone,agegrp,allwt,socsecsf,medcrsf,medcdsf,welfself,EITCself,colgself,stulnsel,vetbself,unempsel,govpensf,wkcmpsef,fdstpsel,pubhsslf,buslnsf,gibilsef,mtgdself,hdstrtsf,wicself,disblsef,soccitzn,soccit2,grntloan,votealwy,votescal,meantest,nonmeans,educrcd,incomercd,follorcd,trustofrd,gvtdomor2,govtprog2,unionrcd,nonmean2,meantst2,govprogr,sexrd,agerd,ptyidrd,polorit,oppsucrd,incdiffrd,havercd,ineqinrd,upmobrd,dwnmobrd,healthrcd,college,partyrd,partyrd2,govprord,income2,meantst3,over50,income4rcd
1,2,4,1,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,3,1,2,1,1,1,1,1,1,2,2,1,3,2,2,1,2,2,1,1,4,4,4,4,4,1,1,4,2,4,4,4,4,4,4,4,4,4,4,1,1,2,4,6,2,1,2,2,2,1,2,2,2,31,3,1,2,1,1,3,3,1,1,2,2,1,2,2,2,1,1,C,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,0,2,1,4,0,3,3,0,1,0,1,1,31,1,1,2,3,1,2,2,2,1,3,1,1,0,1,0,0,1
2,1,4,4,0,1,0,1,0,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,6,2,2,2,3,1,1,1,1,2,NA,2,2,2,2,1,3,1,2,2,2,1,2,1,2,2,2,4,NA,4,2,2,4,4,4,4,4,4,2,2,2,4,4,1,1,2,17,1,2,1,2,2,1,1,3,1,3,24,2,2,2,1,1,3,3,1,1,1,2,2,2,2,2,7,2,P,1,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1,3,NA,0,3,7,3,0,3,3,0,0,NA,1,2,24,1,1,2,3,1,1,2,2,1,3,1,1,0,5,0,0,4
2,4,2,3,0,0,0,0,0,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,3,3,NA,2,3,1,3,1,NA,1,2,1,1,1,1,1,1,1,1,1,1,4,4,3,4,3,3,3,4,2,4,4,3,4,4,2,4,2,3,4,1,NA,2,1,6,2,2,1,6,1,1,1,2,2,22,3,2,1,1,3,3,3,2,1,1,1,1,NA,1,2,2,2,E,1,NA,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,6,3,1,1,3,5,0,2,2,3,0,3,1,0,1,4,3,2,22,1,NA,3,3,NA,2,2,1,1,3,1,1,1,2,3,0,2
1,5,5,5,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,2,3,1,1,3,3,1,2,1,2,NA,3,NA,1,3,1,1,2,3,2,1,2,4,4,4,4,3,2,2,1,4,1,4,4,4,4,NA,4,4,4,1,1,1,2,20,1,2,1,2,2,1,2,2,1,3,24,3,1,1,1,3,3,NA,2,1,1,1,2,1,1,2,7,1,E,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,NA,0,0,0,1,NA,NA,0,1,3,1,NA,3,7,4,0,3,3,1,NA,1,1,1,24,1,1,3,1,1,3,3,NA,1,2,1,1,0,5,0,0,4
1,2,5,1,1,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,5,1,2,3,3,1,1,1,1,NA,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,4,4,NA,1,1,2,2,4,4,4,4,4,2,NA,1,4,4,1,1,2,13,1,2,1,1,2,3,2,1,2,4,35,2,2,1,1,3,3,3,1,1,1,2,2,2,2,1,2,2,C,2,1,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,0,NA,1,0,0,NA,NA,1,1,3,NA,NA,4,2,4,1,3,1,1,NA,NA,3,2,35,1,1,3,3,1,1,2,2,1,3,1,1,1,2,1,0,2
1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,4,2,1,1,NA,1,1,1,NA,3,2,1,2,1,2,2,1,1,1,1,3,3,1,1,2,4,4,4,2,4,4,4,4,4,1,4,4,4,4,1,4,4,4,1,3,2,6,1,2,2,1,2,1,1,2,1,4,38,1,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,E,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,3,0,2,4,NA,4,0,2,1,0,2,0,3,2,38,1,3,1,NA,1,1,1,2,1,3,1,1,1,NA,0,0,NA
4,1,1,5,0,0,0,0,0,1,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,NA,1,2,1,1,3,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,2,2,4,1,2,2,4,4,4,NA,4,1,4,4,4,4,4,4,1,NA,2,45,1,2,2,1,1,2,1,2,2,2,45,2,NA,3,1,1,3,3,4,1,1,1,1,2,NA,NA,1,2,C,3,3,0,0,0,0,1,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,NA,NA,0,1,3,2,NA,2,1,1,0,3,2,0,NA,2,2,2,45,1,NA,1,NA,1,2,1,2,1,3,1,1,0,1,1,0,1
1,4,1,4,0,0,1,0,0,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,5,2,2,2,3,1,1,1,1,3,1,1,1,2,3,1,3,NA,2,2,2,3,NA,1,2,2,4,4,2,3,4,1,4,1,4,4,4,4,3,4,4,4,4,1,1,2,5,1,2,4,2,2,2,1,3,1,3,47,1,1,1,1,3,2,2,2,1,1,NA,2,2,1,1,3,2,E,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,4,2,1,1,3,1,3,3,3,4,0,3,3,1,3,0,1,2,47,1,1,2,3,1,1,2,3,1,3,1,1,0,3,0,0,3
2,2,1,1,0,0,0,0,0,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,3,2,2,3,3,2,2,1,2,3,1,2,NA,2,2,1,3,1,2,1,2,1,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,4,4,4,1,2,1,25,1,4,2,1,2,1,2,2,1,2,48,3,3,2,2,NA,2,2,1,2,1,1,1,2,2,2,3,2,C,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,1,3,0,NA,2,3,3,0,3,3,0,NA,0,1,2,48,1,2,3,3,2,2,2,2,1,2,1,1,0,3,0,0,3
1,2,1,5,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,5,2,2,3,3,1,2,2,1,3,1,1,1,2,2,1,1,1,2,2,1,3,3,2,4,4,4,4,3,4,1,4,4,4,4,4,4,4,4,2,4,4,4,1,2,2,17,2,2,2,1,2,3,1,1,1,4,43,2,1,1,1,1,3,1,2,2,2,2,2,1,1,2,4,2,E,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,1,0,4,4,4,0,3,1,0,1,1,3,2,43,1,2,3,3,1,2,2,2,1,2,1,1,1,4,0,0,3
1,5,2,1,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,5,NA,2,2,3,1,3,1,1,2,1,2,1,2,2,1,NA,1,1,1,1,2,1,1,2,2,2,4,3,1,3,2,2,2,4,4,4,4,4,4,4,4,4,1,1,2,12,2,2,2,1,2,1,2,1,2,3,38,2,2,2,2,NA,2,2,1,2,1,2,2,2,2,2,6,2,E,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,3,2,0,3,6,4,NA,3,NA,0,1,1,NA,2,38,1,1,2,3,1,3,2,2,1,3,1,1,NA,5,0,0,4
1,2,1,1,1,0,0,0,0,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,4,2,2,1,3,1,1,1,1,2,1,1,2,1,3,1,1,1,2,2,2,2,3,1,2,2,4,4,4,3,3,4,4,4,1,2,4,4,4,3,4,4,4,1,3,2,15,1,2,2,1,2,1,1,1,2,3,40,1,2,2,1,3,2,3,2,1,1,2,1,2,1,2,4,1,C,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,4,2,1,1,3,1,2,3,4,4,0,3,1,0,3,0,3,1,40,1,3,1,3,1,1,1,3,1,3,1,1,1,4,0,0,3
4,1,1,4,0,0,0,0,0,1,3,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,2,1,2,3,1,2,3,1,3,1,2,1,2,3,2,1,1,1,1,3,1,1,1,4,4,1,4,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,1,3,2,17,1,2,2,1,1,1,1,2,2,2,39,1,1,1,2,NA,3,3,2,1,1,1,1,2,1,2,3,2,E,2,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,2,1,2,3,1,0,2,1,0,1,2,3,2,39,1,3,2,3,1,2,2,3,1,3,1,1,1,3,1,0,3
2,4,1,4,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,3,3,1,3,3,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,4,2,4,2,3,4,4,4,3,4,4,2,4,4,4,4,4,4,4,1,1,1,15,1,2,2,1,2,1,3,1,2,1,36,2,2,1,2,NA,2,3,3,1,1,1,1,1,1,2,3,2,C,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,1,1,1,3,3,0,3,1,0,1,1,3,2,36,1,1,3,3,1,3,2,3,1,3,1,1,1,3,0,0,3
1,1,1,1,1,0,0,0,0,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,5,2,2,1,3,1,2,2,2,3,1,1,2,2,3,2,3,2,1,1,3,2,2,1,4,4,4,4,3,4,2,1,4,4,4,4,4,4,1,3,4,4,4,1,2,2,3,1,2,1,2,2,1,1,2,1,4,30,1,1,1,1,3,3,3,2,1,1,NA,2,2,1,1,5,1,P,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,2,0,1,3,1,3,4,5,4,0,2,3,1,3,1,1,1,30,1,2,1,3,1,2,2,3,1,3,1,1,0,5,0,0,4
1,2,1,1,0,1,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,3,1,1,3,2,1,2,1,1,2,2,1,1,1,1,3,2,2,2,3,2,2,2,2,2,1,2,2,2,3,2,1,2,4,4,4,1,2,4,4,1,2,2,18,1,2,2,1,2,3,3,3,2,1,41,2,2,1,1,2,3,3,1,1,2,1,1,2,2,1,2,2,E,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,4,2,0,1,3,1,3,1,2,4,0,3,1,0,3,1,3,2,41,1,2,3,1,1,3,2,1,1,2,1,1,1,2,0,0,2
2,5,1,5,0,0,0,0,0,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,3,1,3,3,2,3,1,1,2,1,2,1,3,1,3,1,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,4,4,4,2,4,1,1,2,2,1,2,1,2,2,1,1,2,1,1,23,3,1,2,1,2,3,3,1,2,1,NA,2,1,2,1,2,1,E,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0,3,3,1,0,0,1,1,23,1,1,2,3,1,3,1,2,1,2,1,1,0,2,0,0,2
2,1,1,2,1,0,0,0,0,1,3,2,2,2,2,1,2,2,2,2,2,1,1,2,2,5,2,2,2,3,1,2,1,1,2,2,2,1,3,2,1,1,1,3,1,2,2,1,2,4,4,4,4,NA,3,3,4,2,4,4,4,4,4,4,NA,4,4,4,1,1,2,22,6,2,1,2,2,3,2,2,1,2,22,2,1,1,2,NA,3,3,2,2,2,1,1,NA,1,2,3,2,E,1,3,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,1,0,1,NA,NA,2,3,3,0,3,1,0,NA,NA,3,2,22,1,1,2,3,1,2,3,2,1,2,1,1,1,3,0,0,3
2,4,1,1,1,0,0,0,0,4,4,2,2,1,2,2,2,2,2,2,1,2,2,2,1,3,2,1,3,3,1,1,1,1,3,1,1,1,2,1,2,3,1,1,1,1,1,1,1,3,2,4,3,4,4,2,4,2,4,4,3,4,4,4,4,4,4,1,1,2,2,16,6,2,1,2,2,3,2,2,3,1,18,1,1,1,2,NA,3,3,2,1,2,2,2,1,1,1,3,2,C,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,0,0,0,2,1,1,3,3,0,2,3,0,1,2,1,2,18,1,2,3,3,1,1,2,1,1,3,1,1,0,3,2,0,3
1,4,2,1,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,4,2,1,2,3,1,1,NA,1,1,1,2,2,2,1,2,2,1,1,2,3,2,1,1,4,4,4,4,4,1,1,1,1,4,4,4,4,4,2,1,4,4,NA,1,1,2,2,1,2,1,2,2,2,2,2,2,3,44,1,1,NA,1,3,3,NA,3,1,1,2,1,2,NA,2,2,2,C,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,3,1,3,3,2,4,0,2,2,0,4,0,2,2,44,1,1,2,3,1,1,2,1,1,3,1,1,0,2,0,0,2
1,4,1,2,0,0,1,1,1,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,1,5,2,2,3,3,1,3,2,1,1,1,2,1,3,2,1,2,2,1,NA,2,2,1,1,4,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,12,1,2,2,1,2,3,3,2,2,3,35,1,1,1,1,2,3,1,1,1,1,1,2,2,1,1,4,2,E,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,4,4,0,3,2,0,0,0,2,2,35,1,2,3,3,1,3,3,2,1,3,1,1,0,4,0,0,3
1,1,4,4,0,0,0,0,0,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,4,2,2,1,3,1,2,3,1,2,1,1,1,2,3,NA,3,1,2,2,3,3,1,1,2,2,2,4,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,1,2,2,45,1,2,1,1,2,1,2,1,2,2,45,1,1,1,1,1,2,3,2,1,1,1,1,2,2,2,2,2,E,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,1,1,2,2,4,0,NA,3,0,1,1,1,2,45,1,2,1,3,1,2,2,3,1,3,1,1,0,2,0,0,2
2,2,1,2,0,0,1,1,0,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,3,2,1,2,1,1,3,1,1,3,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,2,4,2,4,4,2,2,4,4,3,4,4,4,1,2,2,8,1,4,2,2,1,1,1,1,1,2,42,2,1,1,1,2,3,3,2,2,1,1,2,2,1,1,4,2,E,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,3,0,1,2,4,3,0,3,1,0,1,0,3,2,42,1,2,2,1,1,3,1,3,1,3,1,1,1,4,0,0,3
1,1,2,2,0,0,0,0,0,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,3,2,2,1,3,1,1,1,2,3,1,1,1,1,2,3,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,26,1,2,1,1,5,1,1,1,1,2,37,1,1,1,2,NA,2,3,2,2,2,2,1,1,2,1,2,2,E,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,2,4,0,1,1,1,0,0,3,2,37,1,1,1,3,1,1,1,2,1,3,1,1,1,2,0,0,2
1,2,1,5,1,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,3,1,1,1,1,3,2,1,2,3,2,1,NA,1,1,1,1,3,1,1,2,2,2,4,1,3,2,3,1,2,2,3,4,4,2,4,4,2,2,1,NA,2,45,7,1,3,1,2,2,3,1,1,2,45,1,1,1,2,NA,3,2,3,2,1,1,1,2,1,2,2,1,C,3,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,5,3,1,1,3,3,2,2,2,4,0,3,NA,0,2,2,NA,1,45,1,NA,2,3,1,1,3,2,0,3,1,1,NA,2,1,0,2
2,4,1,4,0,0,0,0,0,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,3,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,4,4,4,4,3,2,3,4,4,4,4,4,4,2,4,4,4,1,2,2,3,1,2,2,2,2,1,2,1,2,3,43,3,2,1,1,3,2,2,3,1,1,NA,1,2,NA,2,3,1,C,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,1,3,3,3,0,3,2,0,2,0,2,1,43,1,2,2,3,1,1,2,2,1,3,1,1,0,3,0,0,3
3,3,2,2,0,0,0,0,0,1,3,2,1,2,2,2,2,2,2,1,2,2,2,2,2,5,2,2,2,3,1,1,1,2,3,1,1,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,4,4,4,4,2,4,1,4,4,4,2,4,4,4,4,4,4,4,4,1,1,2,6,2,2,2,2,2,1,1,1,1,4,30,2,1,1,2,NA,3,3,2,1,1,1,2,1,1,NA,6,2,E,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,4,6,2,0,NA,NA,0,1,0,NA,2,30,1,1,2,3,1,1,NA,NA,1,2,1,1,NA,5,0,0,4
1,2,1,1,1,0,0,0,0,1,1,2,2,1,2,1,2,2,2,2,2,2,1,1,2,3,2,1,1,3,1,3,1,1,3,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,4,2,4,1,4,1,4,4,4,4,4,4,4,4,1,4,1,1,2,8,6,2,1,1,3,1,1,1,2,3,41,3,2,1,2,NA,2,3,1,2,1,1,1,2,1,1,5,2,P,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,2,1,1,3,1,1,3,5,4,0,3,2,0,2,1,2,2,41,1,1,1,3,1,3,1,2,1,3,1,1,0,5,1,0,4
2,4,1,2,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,4,3,4,4,2,3,3,3,4,4,2,2,2,2,3,2,1,NA,1,5,1,4,2,1,5,1,2,1,2,1,48,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,4,1,C,3,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,5,3,0,1,3,2,3,1,4,3,0,2,1,0,3,2,3,1,48,1,NA,1,1,1,1,2,2,1,3,1,1,1,4,1,0,3
2,4,2,3,0,0,0,0,0,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,1,1,1,1,3,1,1,NA,2,2,1,1,1,2,1,2,2,2,1,3,2,2,4,4,1,4,2,4,4,4,2,2,4,4,1,2,2,4,1,NA,1,2,5,2,2,1,2,3,1,3,2,2,31,2,2,2,1,1,2,3,3,1,1,2,2,2,2,2,2,2,C,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,1,3,1,2,2,2,3,0,3,1,0,2,0,3,2,31,1,NA,2,NA,1,1,2,2,1,3,1,1,1,2,0,0,2
1,2,1,1,0,1,1,0,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,6,2,2,3,3,1,1,1,1,2,2,1,1,2,3,1,1,1,1,2,1,2,2,1,4,4,4,4,2,4,2,4,1,4,4,4,4,4,4,2,4,4,4,1,1,2,10,1,2,1,2,2,2,1,2,2,3,31,1,2,2,1,3,3,3,3,1,1,2,2,2,2,2,2,1,C,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,1,3,2,4,0,3,1,0,1,0,3,1,31,1,1,3,3,1,1,2,3,1,3,1,1,1,2,0,0,2
3,2,1,5,1,0,0,0,0,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,5,2,2,1,2,1,1,2,2,3,1,1,1,1,2,1,3,1,1,1,2,2,1,1,4,4,4,4,NA,1,1,4,2,4,4,4,4,4,4,1,4,4,4,1,NA,2,10,5,2,2,1,2,3,1,2,2,1,36,2,2,1,2,NA,3,2,2,1,1,2,1,2,1,2,5,2,E,2,1,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,1,3,NA,1,1,5,2,0,3,3,0,2,NA,1,2,36,1,NA,1,2,1,1,1,2,1,3,1,1,0,5,0,0,4
3,3,1,5,0,0,0,0,0,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,3,1,2,1,1,1,1,2,1,1,1,3,1,3,1,1,2,2,2,1,1,4,2,2,4,4,1,1,4,4,2,4,4,4,2,1,4,4,4,1,1,2,7,1,1,2,2,2,1,1,1,1,2,41,3,2,1,1,2,2,3,3,1,1,2,1,2,1,2,3,2,E,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,2,1,0,2,0,3,2,3,2,0,1,1,0,4,0,3,2,41,1,1,3,3,1,2,1,1,0,3,1,1,1,3,0,0,3
1,1,1,2,1,0,0,0,0,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,NA,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,NA,2,1,2,2,2,2,1,3,3,2,1,4,1,4,4,4,4,4,4,2,4,1,2,2,8,1,2,2,2,2,1,2,2,1,3,31,2,NA,2,2,NA,2,3,3,1,1,2,2,NA,2,2,3,2,M,2,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,5,3,1,1,3,2,2,3,3,4,1,2,2,0,3,1,2,2,31,1,2,2,3,NA,2,2,2,1,3,1,1,0,3,0,0,3
2,4,1,5,0,0,0,0,0,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,NA,10,1,2,2,1,1,2,1,1,2,2,40,2,3,1,NA,NA,2,3,2,1,2,2,1,1,2,1,4,1,E,2,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,2,2,0,2,4,3,0,3,2,0,1,1,2,1,40,1,1,2,3,1,1,1,1,1,3,1,1,0,4,0,0,3
1,1,1,1,1,1,1,1,0,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,5,1,1,3,1,1,1,1,1,3,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,4,1,1,3,3,4,3,4,4,3,4,4,4,2,4,1,1,1,1,2,15,6,3,4,2,2,3,2,3,3,2,48,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,M,3,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,10,3,1,1,3,5,3,2,2,4,1,3,1,0,4,4,3,2,48,1,1,3,1,1,1,2,2,1,3,1,1,1,2,3,0,2
2,2,2,1,0,0,0,0,0,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,3,1,1,1,1,2,1,1,1,3,2,1,3,1,1,1,1,3,2,1,3,2,2,2,3,2,1,4,1,4,4,4,4,4,4,4,4,4,4,1,2,2,5,1,NA,1,1,1,3,1,3,2,2,26,2,1,1,2,NA,3,3,3,2,2,1,2,1,1,2,1,1,E,1,7,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,2,1,1,3,1,2,2,1,3,1,3,3,0,3,1,1,1,26,1,2,2,3,1,1,3,2,NA,3,1,1,0,1,0,0,1
2,2,1,1,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,5,1,2,2,3,1,2,3,2,3,1,1,1,1,1,NA,3,1,1,2,2,2,1,1,2,2,2,2,3,1,1,2,2,2,2,2,4,4,4,1,4,2,2,1,2,2,10,1,2,2,1,2,1,2,1,1,3,42,2,1,1,1,3,3,3,2,1,1,2,2,2,1,1,5,1,E,2,NA,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,1,3,2,1,3,5,3,1,NA,3,0,2,1,1,1,42,1,2,2,3,1,2,1,1,1,3,1,1,0,5,0,0,4
1,1,4,1,1,1,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,6,2,2,3,3,1,2,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,1,4,4,4,4,NA,4,3,4,4,4,4,4,4,4,4,3,4,4,4,1,1,2,15,1,2,5,2,2,1,1,2,1,4,35,1,2,3,2,NA,3,1,3,1,1,1,2,2,1,2,4,1,E,2,1,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,1,3,NA,1,4,4,4,0,3,1,1,2,NA,3,1,35,1,1,3,3,1,2,2,2,1,3,1,1,1,4,0,0,3
1,1,5,5,1,0,1,0,0,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,3,1,1,3,3,1,1,1,1,3,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,3,4,1,4,4,2,3,4,4,1,4,4,2,3,4,4,4,1,1,2,10,1,2,4,2,2,1,1,3,2,1,48,2,2,2,1,3,2,2,3,1,2,2,2,2,2,2,3,2,E,3,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5,3,0,1,3,3,2,1,3,4,1,3,2,1,2,3,2,2,48,1,1,3,3,1,1,2,2,1,3,1,1,0,3,2,0,3
1,4,1,1,1,0,1,0,0,1,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,5,2,2,3,3,1,3,1,1,2,1,2,NA,2,1,1,1,1,2,2,3,2,1,1,4,4,4,2,1,4,2,2,4,4,4,4,4,4,2,3,4,4,4,1,1,2,1,1,2,1,1,6,1,1,1,1,2,41,2,2,1,1,3,3,2,3,1,1,2,1,2,1,2,4,2,P,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,3,1,1,2,4,4,0,3,1,0,1,1,3,2,41,1,1,3,3,1,3,2,1,1,3,1,1,1,4,0,0,3
